,id,job_title,description,location,employer,date_posted,n_applicants,industries,industries_1,industries_2,employment_type,job_function,job_function_1,seniority_level
0,2502509464,Data Scientist - Training Specialist (m / f / d),"Direct message the job poster from STATWORX abum abum--STATWORX is a consulting company for data science, machine learning and AI based in Frankfurt am Main and Zurich. With our specialized consulting, development and training services, we support our customers holistically in the data-driven optimization of their products, services and processes. Today STATWORX is one of the leading providers of data science, machine learning and AI in German-speaking countries.Your tasksSince 2011, we have trained over 4,000 people in our STATWORX Academy in the fields of data science, statistics and machine learning. From small training units & beginner programs to long-term and global training concepts, mostly in the DAX environment, we offer a diverse and individual portfolio. Our aim is to always have our finger on the pulse (currently including Natural Language Processing, Deep Learning and DevOps) and to constantly develop our training methods.To further expand our team and training offer, we are looking for a Data Scientist - Training Specialist (m / f / d) with the following area of ​​responsibility as soon as possible:Independent development and implementation of training projects in the areas of coding, data science, machine learning, statistics and AIAdvice on and development of tailor-made training concepts for our major customersConception and creation of theoretical and practical training units, interactive application examples with Python / R / ShellIndependent implementation of trainings (currently only virtual, in future also in face-to-face mode)Development and programming of models from machine learning, statistics and AI in R and / or PythonReview as well as content and technical development of existing training materialsActive participation in internal projects such as hackathons and blogs as well as formats for internal knowledge exchange and expansionyour profileYou have successfully completed your master's degree with a quantitative focus, e.g. business administration, statistics, business informatics, social / political sciencesYou have already had at least one year of practical experience in data science consulting or data science projectsYou have very good knowledge of univariate, bivariate and multivariate statistics as well as machine learningYou enjoy programming in R and / or Python and have already been able to prove your skills here several timesYou have a talent for it and find great enthusiasm for preparing complex, technical content and conveying it clearlyIdeally, you have already gained experience with agile working methods (especially Scrum) as well as deep learning and / or data engineering, or you have a strong interest in familiarizing yourself with thisYou have good communication skills and you have business fluency in English and at least very good written and spoken GermanYou are characterized by your reliability as well as a thorough and structured way of working and you are an absolute team playerYou enjoy taking trips to our customers in Europe from time to timeWe offer you thatOpportunity to actively shape the further development of our training portfolio and to contribute with innovative methods to make demanding and complex topics such as AI and data science understandable and tangibleCreative collaboration in our small, powerful STATWORX Academy teamShort decision-making paths and processes, paired with an agile way of workingInternal and external training opportunities for continuous personal developmentModern, high-quality furnished office, friendly working atmosphereAnd many other benefits: Apple IT equipment (MacBook Pro), flexible working hours and home office days (currently unlimited), regular team events, company pension, free hot & cold drinks, delicious fruit & snacks in the officeShow moreShow lessEmployment typeFull-time","Frankfurt, Hesse, Germany",<NOT_GIVEN>,2021-08-14,0,,,,Full-time,,,
1,2485189722,Software-Entwickler,"Direct message the job poster from wiko Bausoftware GmbHBenjamin S.Softwareentwickler (m/w/d) VB6/SQLZur Verstärkung unseres Teams am Standort FreiburgAls Softwareentwickler sorgen Sie dafür, dass die formulierten Anforderungen an unsere Software technisch sauber, wirtschaftlich und nachhaltig umgesetzt werden. Dabei gehört die Programmierung von Windows-basierten Anwendungen zu Ihren großen Stärken. Spannende Herausforderungen, eigenverantwortliches Handeln, großes Potenzial und kontinuierliches Wachstum warten auf Sie.Ihre Aufgaben:Sie entwickeln unsere Software gemäß der Anforderung unseres Produktmanagements auf Basis von FunktionsanalysenSie planen, programmieren und testen die entsprechenden FunktionenSie dokumentieren die gemachten Schritte und behalten die aktuellen technologischen Trends im AugeIhr Profil:Sie verfügen über solides technisches Know-How in Microsoft Visual Basic 6.0 und Microsoft SQL ServerSie haben Erfahrung in der Entwicklung betriebswirtschaftlicher SoftwareDas Verständnis für komplexe Datenmodelle zählt zu Ihren StärkenIhre Fähigkeit und Bereitschaft sich in umfangreichen bestehenden Legacy-Code einzuarbeiten zeichnet Sie ausSie verstehen die Bedürfnisse der Kunden und setzen diese in der Gestaltung von Reports auf Basis VBA (Excel), CrystalReports sowie FastReport gezielt umSie denken analytisch und sind in der Lage, sowohl eigenverantwortlich als auch im Team effektiv zu arbeitenWir bieten:Ein interessantes Aufgabenfeld mit der Chance, heute die digitale Zukunft in der Baubrache zu gestaltenMotivierte Kollegen mit Spaß an der Arbeit, den Projekten und dem gemeinsamen ErfolgFlache Hierarchien und kurze EntscheidungswegeEinen modernen und bei Kunden sehr gut etablierten Arbeitgeber mit hervorragenden Referenzen und KundenbeziehungenEine umfassende Einarbeitung mit unseren gelebten Prozessen und hohem kollegialem ZusammenhaltModerne Büros mitten im Herzen der CityEine wunderschöne Region zum Leben mit dem Kaiserstuhl, dem Schwarzwald, der Schweiz und Frankreich vor der HaustüreShow moreShow lessEmployment typeFull-time",Greater Freiburg Area,wiko Bausoftware GmbH,2021-09-14,0,,,,Full-time,,,
2,2530082101,Software-Entwickler,Direct message the job poster from Intenta SEH GmbHNiko KhaledGeschäftsführender Gesellschafter bei Intenta SEH GmbHSoftwareentwickler (m/w/d) mit guten Kenntnissen in C++ im schönen Hamburg gesucht!Autonomes Fahren ist für uns keine Zukunftsmusik - sondern Entwicklungsalltag. Unsere Komponenten für Fahrerassistenzsysteme sorgen schon heute in Fahrzeugen renommierter Automobilhersteller für mehr Sicherheit und Komfort auf der Straße. Höchste Qualitätsstandards und Innovationskraft sind gelebte Firmenphilosophie und begleiten unsere Software- und Algorithmenentwicklung von der Idee bis zur Implementierung. Gemeinsam entwickeln wir die Zukunft.Hat das dein Interesse geweckt? Dann schau dir gerne unsere aktuelle Stellenanzeige für den Standort Hamburg an und trete unserem kleinen Team bei.Bewerben könnt ihr euch unter folgendem Link:https://lnkd.in/eVy7ypQShow moreShow lessEmployment typeFull-time,"Hamburg, Hamburg, Germany",<NOT_GIVEN>,2021-07-14,0,,,,Full-time,,,
3,2534225491,Softwareentwickler iOS (m/w/d),"Direct message the job poster from locandis GmbHRike RosinIn Ausbildung/Studium: Georg-August-Universität GöttingenÜber uns:locandis bietet als junges Unternehmen spezialisierte Softwarelösungen im stark wachsenden Bereich des mobilen Marketings an. Neben der Realisierung von Location-based Marketing, digitalen Kundenkarten und Recommendation Engines gehört insbesondere unsere Indoor Navigation zu den technologisch anspruchsvollsten Produkten, die unsere Anwender begeistern. Zu unseren Kunden zählen u.a. der Lebensmitteleinzelhandel, Heimwerkermärkte, die Fashion-Branche sowie Mobilitätsdienstleister.Unterstütze uns dabei, unsere Algorithmen zu perfektionieren und werde jetzt Teil unseres Entwicklungsteams in der schönen Universitätsstadt Göttingen.Wir bieten eine Vollzeitstelle als Softwareentwickler für iOS an.Das erwartet dich:Entwicklung von SDKs, die von unseren Kunden eingebunden werden könnenEntwicklung von wiederverwendbaren UI-Komponenten mit UIKit zur Verwendung in mehreren ProduktenEntwicklung von Whitelabel-Apps, die schnell an Kundenwünsche angepasst werden könnenWas wir bieten:ein hoch motiviertes Team in einem dynamisch wachsenden Unternehmen, in dem Offenheit und das Streben nach höchster Qualität zur Unternehmenskultur gehörenEine kollegiale Arbeitsatmosphäre in unserem zentral gelegenen Büro am Universitätscampus in Göttingen oder in unserem Büro in der Hamburger SpeicherstadtAktives Mentoring durch einen unserer Senior EntwicklerEinsatz innovativer Technologien und komplexer SystemeEine steile Lernkurve(Teilweise) Homeoffice möglichLeistungsgerechte BezahlungDas solltest du mitbringen:Grundlegendes Verständnis von Softwarearchitektur und professioneller SoftwareentwicklungErfahrungen mit Swift, Objective-C, Cocoapods mit XIB Files/Interface Builder sowie Softwarearchitektur wie MVC und Separation of ConcernsErfahrungen mit GIT und Core DataFlexibilität und eine ausgeprägte LernbereitschaftVoraussichtliches Einstiegsdatum: 15.05.2021Art der Stelle: VollzeitShow moreShow lessEmployment typeFull-time","Hamburg, Germany",<NOT_GIVEN>,2021-06-14,0,,,,Full-time,,,
4,2542359929,Software-Entwickler,Direct message the job poster from XDEV SoftwareRichard FichtnerCEO bei XDEV SoftwareDetails auf xdev-software.deShow moreShow lessEmployment typeFull-time,"Weiden, Bavaria, Germany",XDEV Software,2021-05-14,0,,,,Full-time,,,
0,2506828180,Softwareingenieur,Direct message the job poster from Technology & StrategyDaniel MöllerHuman Resources Business Partner bei Technology & StrategySie suchen eine neue Herausforderung im Bereich der Softwareentwicklung und möchten in einem internationalen Unternehmen an spannenden Projekten arbeiten?Dann melden Sie sich gerne bei mir.Ich freue mich auf Ihre Kontaktaufnahme.d.moeller@technologyandstrategy.com----------------------Are you looking for a new challenge in the field of software development and would you like to work on exciting projects in an international company?Then please feel free to contact me.I look forward to hearing from you.d.moeller@technologyandstrategy.comShow moreShow lessEmployment typeFull-time,"Baden-Württemberg, Germany",Technology & Strategy,2021-09-14,0,,,,Full-time,,,
1,2503818949,Software-Entwickler,"Direct message the job poster from ERAMON GmbHFlorian SchönknechtHead of Operations bei ERAMON GmbHSoftwareentwickler /  Softwarearchitekt (m/w/d)Sie haben Ambitionen nicht nur als Entwickler zu arbeiten, sondern auch Ihre Erfahrung in die Architektur des Systems einzubringen und maßgeblich an der weiteren Entwicklung mitzuwirken? Dann sind Sie bei uns richtig!PHP, Symfony, JavaScript, React und jQuery sind die eingesetzten Programmiersprachen und Frameworks, ebenso gehören zu unseren Werkzeugen Technologien wie Docker, Behat und Ansible.In einem kleinen Team arbeiten Sie nach agilen Methoden, die Entscheidungswege sind kurz und das Aufgabenspektrum ist in einer innovationsfreundlichen Arbeitsumgeben breit angelegt. Neue Ideen und Anregungen sind immer herzlich willkommen.Sie erwartet …•	Ein breites Aufgabenspektrum – basierend auf Ihren Kenntnissen und Fähigkeiten•	Eigenverantwortliches Arbeiten•	Kurze und schnelle Entscheidungswege•	Moderne Arbeitsplatzausstattung•	Kostenlose Getränke, Snacks und Obst•	Eigener Parkplatz•	Homeoffice MöglichkeitIhre Aufgaben …•	Sie analysieren und definieren relevante Software Bestandteile und stellen Software Architekturen mithilfe geeigneter Modelle dar•	Sie setzen aktuelle Technologien als Teil eines modernen und agilen Entwicklungsprozesses ein •	Systemintegration mit unterschiedlichen Integrationstechnologien (Messaging, Enterprise Service Bus, Rest, JSON, XML)•	Performance-Engineering und -Optimierungen bei der Verarbeitung großer Datenmengen•	Sie beraten und unterstützen bei der Softwareintegration und bringen sich bei Software Reviews ein•	Identifikation, Analyse und Evaluation neuer Technologien für den praktischen Einsatz in unterschiedlichen ProjektenDiese Erfahrungen und Kenntnisse sollten Sie mitbringen …•	Begeisterung für Entwicklung komplexer IT-Architekturen und Infrastruktur-Setups mit Anbindung verschiedener Systeme und externer APIs•	Erfahrung in der Definition, Spezifikation und Konzeption von Software Architekturen von den ersten Anforderungen bis zur Inbetriebnahme von Lösungen•	Große Leidenschaft und umfangreiches Know-how in modernen und innovativen Technologien wie PHP und Symfony oder JavaScript und ReactJS, je nachdem welche Spezialisierung Sie bisher genossen haben•	Die Fähigkeit über Vorhaben und Auswirkungen mit allen Stakeholdern sich angemessen auszutauschen und verbindlich wie konstruktiv zu kommunizieren•	Solide Ausbildung bzw. Nachweis der entsprechenden FähigkeitenIhre Stärken sind…•	Zielorientiertes Arbeiten – Sie wollen zum Abschluss kommen•	Konzeptionelle, strategische Denkweise•	Hohes Qualitätsbewusstsein•	TeamorientiertDas Produkt …ERAMON ist eine umfassende webbasierte Software zum Management von Datennetzen (WAN/LAN). Über diese Plattform sind komplexe Aufgaben wie Monitoring, Provisioning, Fault Management etc. homogen integriert. So reduziert sich der Aufwand erheblich, um die kontinuierliche Funktionalität des Netzwerkes sicherzustellen. Der ständige Wechsel zwischen verschiedensten Anwendungen entfällt.Das ERAMON System ist bereits seit vielen Jahren bei großen Unternehmen mit umfangreichen Infrastrukturen im Einsatz.Interessiert?Dann senden Sie uns bitte Ihre Bewerbungsunterlagen per E-Mail an personal@eramon.de oder melden sich telefonisch bei Florian Schönknecht unter 0821 2498 235.Wir freuen uns von Ihnen zu hören!Show moreShow lessEmployment typeFull-time","Gersthofen, Bavaria, Germany",ERAMON GmbH,2021-07-14,0,,,,Full-time,,,
2,2492615260,Software-Entwickler,"Direct message the job poster from Glauchauer Schulungs- und Industrieservice GmbH Lydia MartinInhaberin bei Lyric Handmade
Personaldisponentin GSI GmbH GlauchauIhre Aufgaben• Anwendungsentwicklung mit C++ für Linuxsysteme• Erstellen von Unit- und Integrationstests• Pflege und Erweiterung bestehender Produktteile unserer Mess- und Analysetools fürindustrielle Netzwerke• Evaluierung von C++ Buildsystemen und Toolchains• Mitgestaltung unserer Lösungen in agilen, interdisziplinären TeamsIhr Profil• Abgeschlossene Ausbildung zum Fachinformatiker, Programmierer (oder vergl. Berufe)mit mehrjähriger Berufserfahrung• Abgeschlossenes Studium im Bereich Informatik, Elektrotechnik oder vergl. Studiengänge• Gute Kenntnisse der objektorientierten Programmierung mit C++• Gute Kenntnisse im Umgang mit Linux, Bash-Scripting• Vertraut mit Versionsverwaltungssystemen wie GIT• Hohe Lernbereitschaft und Eigenständigkeit• Teamfähigkeit, Kreativität und EngagementShow moreShow lessEmployment typeFull-time","Glauchau, Saxony, Germany",<NOT_GIVEN>,2021-08-14,0,,,,Full-time,,,
3,2535907964,Remote Software Developer Opportunity! PHD/Master's graduates required!,"Direct message the job poster from Data RevolutionBrenda LewisVice President at Data RevolutionThe Job!Analysis of customer requirements, development and optimization of large and complex software systems with high personal responsibilityConsulting on and implementation of automated test environmentsImplementation of automation processes and cloud infrastructureIntroduction of agile processesRemote opportunity available! The Company!A demanding, academic environment; full of likeminded and ambitious individuals!An open-minded and team-oriented culture characterized by strong team spirit and flat hierarchies!Continuous education within our internal Tech days as well as external training; organized every month with invites to everyone in the company!10% of your working schedule dedicated to your own projects!Attractive work-life balance with 30 days off, paid overtime and little to no travelling expectedIndustry leading and famous speakers brought in to offer motivation and Market insight to employees!Supply with drinks, fruits, sweets, ice cream, and steaks!You!Achieved between 1.0 - 1.8 (German grading system) in both BSc and MSc.German language proficiency at minimum B2 for the German speaking environment within the companyAre constantly looking to progress their skills whilst also having an interest in technical topicsAre quick to understand and have an analytical mindsetEnjoy solving complex customer problems as part of a teamHave a very good First or Higher Degree in a technical subject (Computer Science, Physics, Mathematics and related Sub Degree’s)Possess basic IT knowledge and coding experienceShow moreShow lessEmployment typeFull-time","Munich, Bavaria, Germany",Data Revolution,2021-06-14,0,,,,Full-time,,,
4,2498047052,Softwareentwickler(in) (m/w/d) Remote gesucht – gestalte mit uns die Software für unsere Kunden und sei mehr als nur ein Code-Monkey,"Direct message the job poster from FreiberuflichMarco HeineGründerWir suchen eine/n Vollzeit Softwareentwickler(in) mit Erfahrungen im Bereich .net Core und einem oder mehreren aktuellen Web-Frameworks (z.B. Angular). Die Stelle bietet ein festes Gehalt und die Möglichkeit Dich in die Richtung weiterzuentwickeln, die Dir liegt.Du arbeitest eigenverantwortlich und entwickelst neue und spannende Lösungsansätze mit und für unsere Kunden.Deine Aufgabe = Maßgeschneiderte Software für unsere Kunden entwickeln.Wer sind wir?XP-Solutions ist Derzeit eine One-Man-Show, ein freiberuflicher Softwareentwickler und Softwarearchitekt mit über 20 Jahren Erfahrung im Bereich IT in verschiedensten Branchen. Wir möchten uns vergrößern und zum einen mehr unseren Kunden mit individuellen Lösungen zur Seite stehen, aber auch eigene Produkte entwickeln und vermarkten.Wer bist Du?Du hast bereits mehrere Jahre Erfahrung in der Softwareentwicklung oder ein abgeschlossenes Studium in diesem BereichDu hast Spaß daran knifflige Aufgaben zu lösen und auch über den Tellerrand hinauszuschauen (z.B. muss diese Aufgabe so gelöst werden, oder gibt es bessere Methoden)Du bist ein positiver, optimistischer MenschDu bist ALL-IN, loyal und integerDu suchst nach einer langfristigen ZusammenarbeitPersönliche Weiterentwicklung ist das, was Dich antreibtDu bist offen für konstruktive Kritik und Feedback, welches Dir hilft, besser zu werdenWas machst Du bei uns?Enges zusammenarbeiten mit unseren KundenEntwickeln von individuellen SoftwarelösungenKontinuierliches lernen, auch in Bereichen über die Softwareentwicklung hinausWas bieten wir Dir?Du bist in der frühsten Phase beim Aufbau eines Unternehmens von der One-Man-Show zum vollwertigen Unternehmen dabei. Du bist dabei nicht nur ein Zahnrad in einem Getriebe, sondern gestaltest aktiv mit. Dabei bieten wir Dir konstante Weiterentwicklung Deiner Hard- und Softskills. Du arbeitest eng mit dem Geschäftsführer zusammen, bekommst Coaching und Mentoring und wirst dafür auch noch bezahlt 😉Wer sollte sich NICHT bewerben?Pessimisten und »Das Glas ist halbleer« MenschenPersonen, die keine Verantwortung für sich übernehmenPersonen, die nicht selbst Denken mögen und am liebsten alles vorgegeben haben möchtenPersonen, die ihr eigenes Business nebenbei aufbauen oder den Job zur Überbrückung nutzenBitte nur bewerben, wenn Du:Ein abgeschlossenes Studium oder vergleichbare Erfahrungen hastErfahrungen im Bereich Softwareentwicklung hastEine High-Speed Internet Verbindung hastIn Ruhe und ungestört von zuhause aus arbeiten kannstIn Englisch und Deutsch Verhandlungssicher bistShow moreShow lessEmployment typeFull-time","Bargteheide, Schleswig-Holstein, Germany",Freiberuflich,2021-07-14,0,,,,Full-time,,,
