,id,job_title,description,location,employer,date_posted,n_applicants,industries,industries_1,industries_2,employment_type,job_function,job_function_1,seniority_level
0,2537994909,Internship Data Scientist (f/m/d),"FORECASTY.AI is a venture team of Chemovator, the business incubator of BASF, the largest chemical producer in the world. We enable companies to take faster and smarter business decisions with robust forecasts based on state-of-the-art AI.We are looking for a motivated and highly self-driven student to support our early business development and digital marketing for a period of 6 months or even longer. Are you the right one to start together with us our Chemovator journey?YOUR ROLE You will work closely with forecasty.ai core team in developing the digital product. You will support the team in conducting interviews to gather business insights from our customers and subsequently perform forecasting using advanced AI/ML methods. You will demonstrate your ability to understand the business requirement from the business users. You will define the initial pipeline for data preprocessing for the development team based on your understanding the business requirements. You will work together with the internal team on testing various high-performance AI/ML models on the cloud.YOUR OFFER You will soon be completing a degree (Masters or PhD) in Mathematics, Statistics, Economics, Econometrics, Data Science, Computer Science or other or related fields and have achieved above-average results in your study program. You have gained at least 1 year of experience in data analytics, data preprocessing, machine learning, artificial intelligence or related topics in an industry or an academic context. You have gained knowledge of statistical modelling specifically - Time Series Forecasting such as Vector Autoregression (VAR), Vector Error Correction (VEC), Exponential Smoothing Methods, ARIMA, STL methods, Fourier Series. You have gained experience in machine learning algorithms such as SVM, Random Forest, Linear Regression, Logistic Regression. You are proficient in a programming language such as R and Python. Your communication skills are excellent in English, and you present your results vividly. Bonus: Knowledge of Cloud platform such as Microsoft Azure, Databricks would be an added advantage Bonus: Deep Learning know how, prior forecasting experience in an industry/academic contextWE OFFER A steady interaction and dialogue with experienced experts from two worlds – corporate BASF and our wide external network. Use the mass of experiences of your colleagues and our Entrepreneurs in Residence to develop yourself and your Venture further. Flexible working time and mobile work as well as usual perks of a company in the startup. environment, e.g. free drinks and an inspiring atmosphere within an unconventional location in Ludwigshafen. A competitive salary and the opportunity to be part of the growing Venture Team Forecasty.AIARE YOU INTERESTED?Nothing is set in stone yet, so your input is highly welcome. Please apply using LinkedIn Easy Apply with your relevant documents. We are looking forward to hearing from you!Show moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionEngineeringInformation TechnologyIndustriesComputer Software","Mannheim, Baden-Württemberg, Germany",Forecasty.AI,2021-09-10,0,Computer Software,,,Internship,Engineering,Information Technology,Internship
1,2511026212,Data Engineer Intern (m/w/d) Machine Learning /artificial intelligence,"We, at INDAAQ Solutions, are looking for a Data Engineer Intern to research and contribute to prototype projects (concentrated in the field of Machine Learning) at various scales. Your role is to support the engineering team in day-to-day tasks including data processing and maintenance, process reporting, and troubleshooting. You will analyze and optimize processes, suggest improvements, and learn industrial practices from a practiced team. You have some experience in Software engineering, preferably data engineering. Good Python coding skills Familiarity dealing with Linux You are communicative and a team player, with a ‘learn and grow’ mindset Curiosity! Monitor Data Acquisition processes. Work with Engineers to review code and improve the quality and performance Embrace development practices ensuring best outcomes Help with external workshops and webinars Improve your skills in using components of our tech stack: Python, AWS and Tableau. Most importantly, kick-in to make the work-environment fun! Contribute to a start-up built on a widely researched and growing field Hands-on experience with present-day cutting-edge technology Direct exposure to the present technology advancements Coaching in relevant entrepreneurial skills Start-up learning environment where you can gain more experience within 3 months than in 1 year in a corporate environment Structure your own working timeWe are a start-up company funded by the German Federal Ministry for Economic Affairs and Energy and are already working with Leibniz Universität Hannover, as well as international partners from Asia and Europe. With us, companies can cost-effectively take the first step into artificial intelligence, use their manufacturing equipment more efficiently and save costs.6–12-week Internship (Pflichtpraktikum) in Hannover, Niedersachsen.The internship can start immediately OR at a later date.If you’d like to apply for this role, please contact Dimitrij Lewin at:lewin.d@indaaq.comShow moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionInformation TechnologyIndustriesInformation Technology and ServicesComputer SoftwareMechanical or Industrial Engineering","Hannover, Lower Saxony, Germany",<NOT_GIVEN>,2021-08-10,0,Information Technology and Services,Computer Software,Mechanical or Industrial Engineering,Internship,Information Technology,,Internship
2,2518774865,Internship Data Scientist (f/m/d)2jooble2Forecasty.AI,"FORECASTY.AI is a venture team of Chemovator, the business incubator of BASF, the largest chemical producer in the world. We enable companies to take faster and smarter business decisions with robust forecasts based on state-of-the-art AI. We are looking for a motivated and highly self-driven student to support our early business development and digital marketing for a period of 6 months or even longer. Are you the right one to start together with us our Chemovator journey? YOUR ROLE  You will work closely with forecasty.ai core team in developing the digital product.  You will support the team in conducting interviews to gather business insights from our customers and subsequently perform forecasting using advanced AI/ML methods.  You will demonstrate your ability to understand the business requirement from the business users.  You will define the initial pipeline for data preprocessing for the development team based on your understanding the business requirements.  You will work together with the internal team on testing various high-performance AI/ML models on the cloud.  YOUR OFFER  You will soon be completing a degree (Masters or PhD) in Mathematics, Statistics, Economics, Econometrics, Data Science, Computer Science or other or related fields and have achieved above-average results in your study program.  You have gained at least 1 year of experience in data analytics, data preprocessing, machine learning, artificial intelligence or related topics in an industry or an academic context.  You have gained knowledge of statistical modelling specifically - Time Series Forecasting such as Vector Autoregression (VAR), Vector Error Correction (VEC), Exponential Smoothing Methods, ARIMA, STL methods, Fourier Series .  You have gained experience in machine learning algorithms such as SVM, Random Forest, Linear Regression, Logistic Regression.  You are proficient in a programming language such as R and Python.  Your communication skills are excellent in English, and you present your results vividly.  Bonus: Knowledge of Cloud platform such as  Microsoft Azure, Databricks  would be an added advantage  Bonus: Deep Learning know how, prior forecasting experience in an industry/academic context  WE OFFER  A steady interaction and dialogue with experienced experts from two worlds – corporate BASF and our wide external network.  Use the mass of experiences of your colleagues and our Entrepreneurs in Residence to develop yourself and your Venture further.  Flexible working time and mobile work as well as usual perks of a company in the startup.  environment, e.g. free drinks and an inspiring atmosphere within an unconventional location in Ludwigshafen.  A competitive salary and the opportunity to be part of the growing Venture Team Forecasty.AI  ARE YOU INTERESTED?Nothing is set in stone yet, so your input is highly welcome. Please apply using LinkedIn Easy Apply with your relevant documents. We are looking forward to hearing from you!Show moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionEngineeringInformation TechnologyIndustriesInformation Technology and ServicesComputer SoftwareInternet","Mannheim, Baden-Württemberg, Germany",Forecasty.AI,2021-07-10,0,Information Technology and Services,Computer Software,Internet,Internship,Engineering,Information Technology,Internship
3,2517414306,Werkstudent (m/w/d/) im Bereich Programm,"MITTENDRIN mit SPORT1 – der führenden 360°-Sportplattform im deutschsprachigen Raum: Die Sport1 GmbH mit Sitz in Ismaning bei München ist ein Tochterunternehmen der Constantin Medien AG. Unter der Dachmarke SPORT1 vereint das Sportmedien-Unternehmen sämtliche TV-, Online-, Mobile-, Social-Media- und Audio-Aktivitäten.Unsere Abteilung Programm Management ist das Bindeglied für unsere TV-Sender (SPORT1, SPORT1+ und eSPORTS1). Wir sind die zentrale Schnittstelle zu allen internen Abteilungen wie Programmplanung, Sendeplanung, Vermarktung, Marketing, Kommunikation, Controlling und Lizenz Management.Zur Unterstützung unseres Teams suchen wir laufend motivierte Praktikanten. Wenn Du alle Facetten eines TV Senders kennenlernen und neue Formate vor allen anderen sehen willst, dann bist Du bei uns genau richtig!Deine AufgabenBetreuung unserer Video on Demand ShopsDu erstellst Pläne und betreust die Verteilung von unserem Content auf verschiedene VoD PlattformenErstellung regelmäßiger und projektbezogener Reportings und ContentübersichtenDu unterstützt die Programm Manager in der Aktualisierung und Platzierung von Inhalten und BegleitmaterialDazu beweist Du Netzwerkqualitäten durch die enge Zusammenarbeit mit den Teams im Bereich Lizenzmanagement, Programm Planung, Kommunikation und Technik Dein ProfilDu bist eingeschriebener Student in den Bereichen Betriebs-, Medien-, Marketing- oder Sportwissenschaften oder ein vergleichbares StudiumDich faszinieren das Fernsehen & die digitalen Medien im Zusammenspiel mit WerbungDu beherrschst Microsoft Excel und PowerPoint; sowie idealerweise auch BildbearbeitungDu bist ein Organisationstalent und zeichnest dich durch eine sorgfältige und eigenverantwortliche Arbeitsweise ausAnalytisches Denkvermögen, sowie wirtschaftliches und technisches VerständnisDu bist sportbegeistert und hast Lust, dein Können mit Leidenschaft in unserem Team einzubringen? Dann freuen wir uns auf deine Bewerbung und erzählen Dir gerne mehr!AnsprechpartnerSimoneHR Managerkarriere@sport1-medien.de089 99500 739TeresaHR Managerkarriere@sport1-medien.de089 99500 311Show moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionEducationTrainingIndustriesMarketing and AdvertisingOnline MediaInternet","Zolling, Bavaria, Germany",SPORT1 GmbH,2021-07-10,0,Marketing and Advertising,Online Media,Internet,Internship,Education,Training,Internship
4,2538070748,Working Student Data Scientist for Supply Chain (m/f/d),"Do you feel at home in Data Science and are you enthusiastic about digital transformation and data-related projects? Do you feel at ease in a fast-growing global company with open business communication and international colleagues? Then you are in the right place as Working Student - Data Scientist for our Supply Chain Team! Actively contribute to our projects and activities covering digital transformation by applying modern data analytics methods Data collection, cleaning and preparing data for explorative analysis Development of predictive statistical models based on efficient and effective methods Visualizing the obtained results and creating dashboards Your Profile And Skills Good knowledge of logistics and supply chain management Enrolled student in Computer Science, Industrial Engineering with Business Studies, Business Administration, or having a comparable qualification Computational Thinking Basic knowledge of Data Science and Machine Learning Basic knowledge of data reporting/visualization tools like Power BI or Tableau Mathematical thinking, strong analytical and problem-solving skills, self-motivated Very confident in using MS Office applications (Access, Visio, PowerPoint, Excel, Word) Fluent in english and german Welcomed Additional Skills Programming skills in Python or R Experience with databases Knowledge in material flow simulation / production simulation We Offer Flexible working time model Individual further development through our internal training programme GROHExcellence / GROHEfficiency A very dynamic environment with global exposure An international team of experts to inspire you and to learn from Work location in an attractive, international city Interested?Then we are looking forward to your application including a certificate of enrollment.For queries and further information, please do not hesitate to contact us.Grohe AGMrs. Anastasia GelmerIndustriepark Edelburg58675 HemerShow moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionEngineeringInformation TechnologyIndustriesInformation Technology and ServicesMachineryStaffing and Recruiting","Düsseldorf, North Rhine-Westphalia, Germany",GROHE,2021-05-07,33 applicants,Information Technology and Services,Machinery,Staffing and Recruiting,Internship,Engineering,Information Technology,Internship
0,2521779389,Flutter / App Engineer | Student,"You study Computer Science, Computer Engineering or similar? You love to take on responsibility and to work independently on projects? Than NEO64 is a perfect match! Responsibilities:Design, build and test Google Flutter applicationsParticipate in code reviews, follow and assist in the development of NEO64’s coding guidelinesParticipate in product design identify UI/UX gaps and suggest solutions Must haves:Strong development skills with DartHands-on experience in building Android/iOS applicationsComfortable with Git and command lineExperience with modern design patterns Bonus points:Skills in Swift, Kotlin or React (Native)Experience integrating 3rd party APIs such as Google and FacebookBuilding complex user interfaces and animationsInterest in engineering innovations such as machine learning Work with us:We are a dynamic team with great ambitionsFlexible working optionsEnjoy a modern, light and spacious officeTake a break with Kicker We look forward to receiving…Show moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionEngineeringInformation TechnologyIndustriesInformation Technology and ServicesComputer SoftwareInternet","Darmstadt, Hesse, Germany",<NOT_GIVEN>,2021-07-10,0,Information Technology and Services,Computer Software,Internet,Internship,Engineering,Information Technology,Internship
1,2534246238,Werkstudent (m/w/d) Software Engineer,"Über Heliopas.ai GmbHAls junges Karlsruher Startup helfen wir Landwirten, mit weniger Düngemitteln und Pestiziden auf Unwetter und Pflanzenkrankheiten zu reagieren. Auf diese Weise können wir die Welt ernähren und gleichzeitig weniger verschmutzen. Dazu überwachen wir weltweit landwirtschaftliche Felder mit Satelliten und künstlicher Intelligenz. Unsere Feldüberwachung versteht die Realität auf dem Feld und warnt vor Krankheiten und Unkräutern, bevor sie sich ausbreiten! Wir suchen zum nächstmöglichen Zeitpunkt Verstärkung für unser Jobangebot Werkstudent (m/w/d) Software Engineer.Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise.Deine Aufgaben Design und Entwicklung von datenintensiven, verteilten und skalierbaren Softwaresystemen in der Programmiersprache Python Deployment unserer weltweiten Analysen für landwirtschaftlich genutzte Felder mithilfe der Google Cloud Verarbeitung von mehrerer Terabytes an Satellitendaten von der ESA Du bestimmst mit uns, was Du während Deiner Zeit bei uns lernst und leistest Das solltest Du mitbringen Sehr gute Programmierkenntnisse in Python Tiefes Wissen im Bereich Softwareentwicklung mit Schwerpunkt auf Qualität, Testbarkeit und Automatisierung Hohe Motivation professionell und persönlich zu wachsen  Das wäre ideal Erfahrung mit dem Webframework Django und Cloud-Umgebungen Kenntnisse im Umgang mit Datenbanken und Containervirtualisierung (Docker) Full-Stack-Entwickler (Front-end, Back-end, Datenbanken, DevOps) Das bieten wir Dir Ein interdisziplinäres, hochmotiviertes Team mit Leidenschaft für maschinelles Lernen und einer großen Vision Flexible Arbeitszeiten Vielfältiges Lernen und eine steile Lernkurve Ein von der Europäischen Union gefördertes Startup Hochmodernes Büro (mit Klimaanlage)  Wenn diese Stelle dein Interesse weckt, bewirb dich jetzt über Workwise bei uns! Wir freuen uns darauf.Über Das UnternehmenAls Karlsruher Startup helfen wir Landwirten, mit weniger Düngemitteln und Pestiziden auf Unwetter und Pflanzenkrankheiten zu reagieren. Auf diese Weise können wir die Welt ernähren und gleichzeitig weniger verschmutzen! Dazu überwachen wir weltweit landwirtschaftliche Feld mit Satelliten und künstlicher Intelligenz! Unsere Feldüberwachung versteht die Realität auf dem Feld und warnt vor Krankheiten und Unkräutern, bevor sie sich ausbreiten!Unser Jobangebot Werkstudent (m/w/d) Software Engineer klingt vielversprechend? Dann freuen wir uns auf eine Bewerbung über Workwise.Bei unserem Partner Workwise kann man sich in nur wenigen Minuten ohne Anschreiben für diesen Job bewerben und den Status der Bewerbung live verfolgen.Show moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionEducationTrainingIndustriesComputer SoftwareInformation Technology and Services","Karlsruhe, Baden-Württemberg, Germany",heliopas.ai GmbH,2021-05-05,0,Computer Software,Information Technology and Services,,Internship,Education,Training,Internship
2,2531602947,Data Engineer Intern,"MissionAs a Data Engineering Intern and part of our new Data Team you will be working with us on the mission to enable our business units to make data-driven decisions through transforming data into actionable insights. As such you will be supporting in the full spectrum of data management, including data generation, data integration, data modelling and aggregations for analytical consumption. Among other data sources, you will be working with real-time tracking data for product and customer analytics, financial and sales pipeline data. You will get to work side by side with our different teams, the founders of Demodesk and truly shape the Business Intelligence landscape of a growing tech start-up.GoalsDesign and Maintain Data Pipelines: Based on the company strategic goals you will work with our Data Engineers on generating clean and unified data from disparate data sources as well as improving processes, monitoring, optimizing and troubleshooting our Data solutions using a state of the art tech stack.Enhance the Data Model: You will take part in further developing the Demodesk Data Warehouse and Data Model as the single source of truth, reflecting all business relevant movements and processes as the basis of accurate and consistent reporting and self-service analysis.Enable the Business: Working in direct contact with stakeholders from Demodesks business departments, you will analyze their business requirements and help to translate them into technical solutions, define meaningful KPIs and reports as well as communicate the value of data to the different stakeholders.ProfileMaster student of Computer Science, Engineering or a related field or equivalent practical experience in Data Engineering / DWH Engineering Solid understanding of ETL and DWH processes and tools Good programming skills in SQL and/or Python Experience with Google Cloud Services, dbt and Airflow is a plus Strong analytical skills, enjoying to work autonomously and an intrinsic motivation to learn and promote self-owned topicsProactive team player with curiosity and plenty of ideasWhy usWell-funded and backed by Silicon Valley's top investors & angels, including Y CombinatorFast-growing, diverse and international team of tech enthusiasts and entrepreneursUnique proprietary screen sharing technology using a state of the art tech stackFull responsibility from day one and being part of our hierarchy-free and results-driven working environmentCompetitive salary plus attractive stock compensation packageFlexible working hours and annual travel allowance for working remotelyAttractive perks including gym memberships, German language course, top of the line MacBook or Linux machine, and a professional development budget of €1500 per yearRegular team events like dinners, Oktoberfest, ski trips and much moreAbout usDemodesk is building the world's first intelligent customer meeting platform for remote sales with the vision to enable everyone to have great customer conversations. We give revenue teams superpowers by enabling them to host more effective and engaging meetings. Demodesk provides teams with real-time conversational guidance that is invisible to the customer and has significantly more data to analyze than existing tools!We have been creating a new category for real-time sales enablement since 2017 and strive to be a global leader. As a growing start-up, we all share a passion to make an impact and grow, not only as a company but also as individuals. To us, innovation is a default mind-set – to challenge norms and create change for the better. We ensure that Demodesk is not only a diverse and inclusive community but also a place where we can learn and build off of each other's experiences. To drive this community, we work to minimize bias in our hiring and decision-making processes.Help us redefine the online meeting space! Be ready to play an essential role in achieving this goal by joining our international team from anywhere. We want to give our people the freedom to choose the life they want and with that the location where they feel the happiest, may that be San Francisco, Munich or fully remote.Show moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionInformation TechnologyIndustriesInformation Technology and ServicesComputer SoftwareInternet","Munich, Bavaria, Germany",Demodesk,2021-05-03,25 applicants,Information Technology and Services,Computer Software,Internet,Internship,Information Technology,,Internship
3,2450909060,Internship Data Scientist (f/m/d),"Direct message the job poster from Forecasty.AITrinh Pham (Lea)Digital Marketer at Forecasty.AIFORECASTY.AI is a venture team of Chemovator, the business incubator of BASF, the largest chemical producer in the world. We enable companies to take faster and smarter business decisions with robust forecasts based on state-of-the-art AI. We are looking for a motivated and highly self-driven student to support our early business development and digital marketing for a period of 6 months or even longer. Are you the right one to start together with us our Chemovator journey?YOUR ROLEYou will work closely with forecasty.ai core team in developing the digital product.You will support the team in conducting interviews to gather business insights from our customers and subsequently perform forecasting using advanced AI/ML methods.You will demonstrate your ability to understand the business requirement from the business users.You will define the initial pipeline for data preprocessing for the development team based on your understanding the business requirements.You will work together with the internal team on testing various high-performance AI/ML models on the cloud. YOUR OFFERYou will soon be completing a degree (Masters or PhD) in Mathematics, Statistics, Economics, Econometrics, Data Science, Computer Science or other or related fields and have achieved above-average results in your study program.You have gained at least 1 year of experience in data analytics, data preprocessing, machine learning, artificial intelligence or related topics in an industry or an academic context.You have gained knowledge of statistical modelling specifically - Time Series Forecasting such as Vector Autoregression (VAR), Vector Error Correction (VEC), Exponential Smoothing Methods, ARIMA, STL methods, Fourier Series.You have gained experience in machine learning algorithms such as SVM, Random Forest, Linear Regression, Logistic Regression.You are proficient in a programming language such as R and Python.Your communication skills are excellent in English, and you present your results vividly.Bonus: Knowledge of Cloud platform such as Microsoft Azure, Databricks would be an added advantageBonus: Deep Learning know how, prior forecasting experience in an industry/academic context WE OFFERA steady interaction and dialogue with experienced experts from two worlds – corporate BASF and our wide external network.Use the mass of experiences of your colleagues and our Entrepreneurs in Residence to develop yourself and your Venture further.Flexible working time and mobile work as well as usual perks of a company in the startup.environment, e.g. free drinks and an inspiring atmosphere within an unconventional location in Ludwigshafen.A competitive salary and the opportunity to be part of the growing Venture Team Forecasty.AI  ARE YOU INTERESTED?Nothing is set in stone yet, so your input is highly welcome. Please apply using LinkedIn Easy Apply with your relevant documents. We are looking forward to hearing from you!Show moreShow lessEmployment typeInternship","Mannheim, Baden-Württemberg, Germany",Forecasty.AI,2021-09-10,0,,,,Internship,,,
4,2516201973,Werkstudent Debitoren Services (m/w/d),"Werkstudent Debitoren Services (m/w/d) Rätsel gelöst? Als Student (m/w/d) setzen Sie Theorie in Praxis um und arbeiten an echten Kundenprojekten mit - bei einem der Top-Arbeitgeber Deutschlands Wir suchen am Standort Gütersloh eineWerkstudent Debitoren Services (m/w/d)(befristet) im Geschäftsbereich B2B Finance Wir stellen trotz COVID-19 ein!Wir sind weiterhin auf Wachstumskurs und auf der Suche nach Ihnen.Unser Bewerbungsprozess ist vollständig digitalisiert. Auch die Einarbeitung kann bspw. im Homeoffice erfolgen.Ihr Verantwortungsbereich Beinhaltet  Sie prüfen Abliefernachweise   Sie unterstützen das Team bei der Rechnungserfassung   Sie erstellen Statistiken von durchgeführten Abliefernachweisprüfungen   Sie unterstützen bei der Abwicklung der Zahlungskoordination und der Kontenklärung  Ihre Wichtigsten Fähigkeiten Sind Für Uns  Sie absolvieren ein Studium der Wirtschaftswissenschaften oder eines vergleichbaren Studienganges, idealerweise mit dem Schwerpunkt Rechnungswesen   Sie haben bestenfalls bereits Praxiserfahrung wie z.B. Erfahrung im Bereich Telefonie / Call-Center durch eine kaufmännische Ausbildung, Praktika oder Nebenjobs   Sie können gute Kenntnisse des Microsoft Office Pakets vorweisen   Sehr gute Deutsch- und gute Englischkenntnisse runden Ihr Profil ab  Wir Bieten Ihnen  Flexibilität neben dem Studium: Passen Sie Ihre Arbeitszeit an Ihren Stundenplan an.   Einfach mal abschalten: Wir veranstalten Weihnachtsfeiern, Sommerfeste und After-Work-Partys.   Selbstverständliche Basics: Bedienen Sie sich an kostenlosen Wasserspendern und Obstkörben und freuen Sie sich auf subventionierte Essensangebote.   Fit durch Sportangebote: Wir bieten Rabatte für Fitnessstudios und nehmen an Firmenläufen teil.   Für Ihre Gesundheit: Mittels Betriebsärzten und Betriebssozialdiensten stellen wir Ihre Gesundheit sicher.   Spare bares Geld: Nutze Vergünstigungen auf verschiedenste Produkte und Dienstleistungen.   Offene Unternehmenskultur: Wir stehen für Vielfalt im Unternehmen - und das in jeder Hinsicht. Zum Beispiel fördern wir mit unserem LGBTIQ-Netzwerk „be.queer“ ein offenes Arbeitsumfeld für alle Mitarbeiter.  Das Sind WirMal ehrlich: Finanzthemen sind kompliziert. Darum sind wir bei Arvato Financial Solutions stolz darauf, sowohl international agierende als auch renommierte, lokale Unternehmen durch die komplexe Welt der Zahlungsströme zu steuern. Ganz gleich ob unsere Kunden im E-Commerce Schuhe verkaufen oder Telekommunikationsdienstleistungen anbieten, unsere Dienstleistungen sichern effizientes Credit Management für bestmögliche finanzielle Performance. Dazu lösen unsere rund 7.000 Mitarbeitende täglich neue Herausforderungen im Zahlungsverkehr und komplexe Datenrätsel – clever, analytisch und mit Blick für jedes Detail – denn das ist unsere DNA. Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseisteigende, IT-Expert_innen, Data Analyst_innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende. Und dank unserer Präsenz in rund 20 Ländern mit Fokus auf Europa und Amerika ist ein passender Job zumeist in der Nähe. Innovate yourself.Wir Halten Was Wir VersprechenMehr Informationen unter  www.innovateyourself.de . Sie sind schon überzeugt? Dann freuen wir uns auf Ihre Online-Bewerbung mit Lebenslauf, Angaben zu Gehaltsvorstellung und frühestmöglichen Eintrittsdatum.Besonders freuen wir uns auf Bewerbungen von Kandidat_innen, die zur Vielfalt unseres Unternehmens beitragen. Vielfalt beziehen wir insbesondere auf die Dimensionen kulturelle oder soziale Herkunft, Religion, Alter, Behinderung, Geschlecht und sexuelle Identität.Unternehmen:  BFS Finance GmbHLand: DeutschlandRegion: Nordrhein-WestfalenStadt: GüterslohPostleitzahl: 33335Job ID:  138762Datum: 22.04.2021StandortGütersloh, NW, DE, 33335Jobsegment:  Data Analyst, Call Center, Data, Customer ServiceShow moreShow lessSeniority levelInternshipEmployment typeInternshipJob functionEducationTrainingIndustriesInformation Technology and ServicesHuman ResourcesManagement Consulting","Gütersloh, North Rhine-Westphalia, Germany",Arvato Financial Solutions,2021-07-10,0,Information Technology and Services,Human Resources,Management Consulting,Internship,Education,Training,Internship
